,LocatiePostcode,Soort aanvraagOmschrijvingKadastrale aanduiding,BVnummer,DatumBinnenkomst,Einddatum  ,EindStatus
30,President Steinstraat 22A2312ZS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen bovenwoning in twee zelfstandige woonruimten en het realiseren van dakterrassen,163398,04-11-2016,06-04-2017,Verleend
31,Punterwerf 12317EE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen voorgevelkozijn begane grondS 00539G0000,162830,12-09-2016,07-11-2016,Verleend
32,Rijn en Schiekade 392311AL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel in zijdakvlakM 01541G0000,163411,07-11-2016,21-12-2016,Vervallen
33,Rijndijk ,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurenieuwbouw 26 appartementen en 6 twee-onder-een-kap-woningen  Rijndijk - hoek Haagse SchouwwegW 04470,163390,04-11-2016,,
34,Ringkade 362315ZC,Onttrekkingwijzigen gebruik naar kamerverhuur,163201,14-10-2016,07-11-2016,Verleend
35,Sandifortdreef 12333ZZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleggen brugX 04114G0000,162302,20-07-2016,07-11-2016,Verleend
36,Schelpenkade 2313ZT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen Groene Deputatenbrug  Schelpenkade - Rijn en SchiekadeM 01587,163431,08-11-2016,21-12-2016,Verleend
37,Steenschuur 62311ET,Omgevingsvergunning Omgevingsvergunning Onbekende Procedurerestauratie en transformatie Loge Vrijmetselarij,163396,04-11-2016,29-11-2016,Vervallen
38,Steenschuur 132311ES,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw tot boutiquehotelG 00308G0000,163397,07-11-2016,02-05-2017,Niet ontvankelijk
39,Stevensbloem 1632331JC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen rookgasafvoerW 07299,162301,19-07-2016,04-11-2016,Verleend
40,Storm Buysingstraat 18A2332VW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen en uitbreiden basisschool de MorskringR 01529,162410,27-07-2016,07-11-2016,Verleend
41,Sumatrastraat 1022315BK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureherindelen woningN 01657,162636,22-08-2016,04-11-2016,Verleend
42,Sumatrastraat 1022315BK,Onttrekkingwijzigen gebruik naar kamerverhuur met 4 kamersN 01698A0001,163393,22-08-2016,30-11-2016,Verleend
43,T/o wassenaarseweg 1,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverplaatsen boomP 03264,162465,02-08-2016,03-11-2016,Verleend
44,Ter Haarkade 2321AS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanleggen Ter HaarbrugO 05729,162392,26-07-2016,03-11-2016,Verleend
45,Wassenaarseweg 2333AM,Kabels en Leidingen Gebruik Openbare RuimteAanleg telecommunicatiekabels Ziggo B.V.,163225,19-10-2016,04-11-2016,Verleend
46,Willemstraat 2316CR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureontgraven grond voor rooien en planten van bomenK 03086,163418,08-11-2016,19-01-2017,Verleend
47,Zernikedreef 92333CK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen hekwerkX 03976G0000,163434,08-11-2016,16-02-2017,Weigering
48,Zijlsingel 662315KG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakopbouwK 05003G0000,152718,13-04-2016,07-11-2016,Verleend
49,Zwenkgras 52318TH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel aan voorzijde woningS 04759G0000,163354,01-11-2016,09-11-2016,Verleend
0,Aalmarkt 2311EC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 4 bomenG 01920,163323,31-10-2016,20-12-2016,Verleend
1,Aalmarkt 222311ED,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning (pop-up V&D;)G 01928G0000,163315,31-10-2016,10-11-2016,Verleend
2,Aalmarkt 222311ED,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlof (pop up V&D;)G 01928G0000,163328,31-10-2016,16-11-2016,Afgehandeld
3,Bargelaan 1802333CW,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken dakterras,162166,08-07-2016,31-10-2016,Verleend
4,Bontiuspad ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen informatiezuilR 01811,163296,27-10-2016,12-01-2017,Verleend
5,Breestraat 1172311CL,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurewijzigen gebruik kelder naar restaurant  winkel naar keuken en plaatsen afvoerkanaalG 02210G0000,161480,15-05-2016,12-09-2017,Weigering
6,Catharinahof ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanpassen terras en maken nieuw terrasG 02421,163324,31-10-2016,13-12-2016,Vervallen
7,Cronesteyn 12322LH,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresnoeien  opkronen en knotten van 65 houtopstanden  strook langs de oever tussen N206 en het Activiteitencentrum Hoeve CronesteynT 06225G0000,162080,01-07-2016,01-11-2016,Verleend
8,Darwinweg 22333CR,Kabels en Leidingen NutsVervangen elektraleidingen Liander.X 04049G0000,163154,12-10-2016,02-11-2016,Verleend
9,Diamantplein 492332HT,Onttrekkingwijzigen gebruik naar kamerverhuur met 4 kamersX 03331A0080,163337,31-10-2016,05-12-2016,Verleend
10,Dieperpoellaan ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van bomen voormalig ROC locatie tbv nieuwbouwplan Park Dieperhout  Dieperpoellaan  Kagerstraat  Faljerilstraat en HoutlaanA 03352,161956,15-06-2016,31-10-2016,Verleend
11,Einsteinweg ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen informatiezuilX 04563,163294,27-10-2016,12-01-2017,Verleend
12,Einsteinweg ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen informatiezuilX 04563,163295,27-10-2016,12-01-2017,Verleend
13,Einsteinweg 552333CC,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken tijdelijke entree,163300,28-10-2016,22-12-2016,Verleend
14,Garenmarkt 132311PG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureherstel historische stoeptegelsE 00260G0000,163303,29-10-2016,06-12-2016,Verleend
15,Gortestraat 382311NM,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduredichtzetten binnenplaatsD 00594G0000,162263,05-09-2016,01-11-2016,Verleend
16,Haagse Schouwweg 102332KG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen LED lichtreclameX 04073G0000,163329,31-10-2016,20-03-2017,Verleend
17,Haarlemmerstraat 1032312DM,Aanvraag ontheffing nadere regels terrassenontheffing nadere regels terrassenH 00488G0000,163331,26-10-2016,02-12-2016,Weigering
18,Haarlemmerstraat 1032312DM,Aanvraag ontheffing nadere regels terrassenWijzigen Openbare RuimteH 00488G0000,163332,26-10-2016,31-10-2016,Afgehandeld
19,Haarlemmerstraat 1572312DP,Aanvraag ontheffing nadere regels terrassenontheffing nadere regels terrassen,163372,01-11-2016,09-11-2016,Afgehandeld
20,Haarlemmerweg 2316AA,Kabels en Leidingen Nutsvervangen elektraleidingen Liander,163051,04-10-2016,02-11-2016,Verleend
21,Havenplein 32312GZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie brugwachtershuis HavenbrugH 03663,163299,28-10-2016,19-12-2016,Verleend
22,Herensteeg 92311SG,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningG 00584G0000,163313,31-10-2016,05-01-2017,Weigering
23,Hoge Rijndijk 1182313KM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voordakvlak.M 08622G0000,162764,05-09-2016,28-10-2016,Verleend
24,Hogewoerd 192311HE,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning,163122,10-10-2016,01-11-2016,Verleend
25,Hogewoerd 522311HP,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels Ziggo BVD 01215G0000,163050,04-10-2016,28-10-2016,Verleend
26,Hogewoerd 1492311HK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen isolatieglas en nieuwe roedenverdelingD 01988A0207,163342,01-11-2016,30-01-2017,Verleend
27,Hugo de Vriesstraat 182313RJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijde woningM 05511G0000,163090,07-10-2016,31-10-2016,Verleend
28,Julianastraat 262316NZ,Onttrekkingwijzigen gebruik naar kamerverhuur met 3 kamersK 02819G0000,163360,02-11-2016,05-12-2016,Verleend
29,Korevaarstraat 42311JS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurelegaliseren winkelpui en zonweringD 01674G0000,163040,04-10-2016,31-10-2016,Verleend
30,Kort Galgewater 42312BR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilder- en onderhoudswerkzaamheden voorgevelB 01696G0000,163024,30-09-2016,28-10-2016,Verleend
31,Lammermarkt 2312CK,Kabels en Leidingen Nutsvervangen gasleidingen Liander,162836,12-09-2016,02-11-2016,Verleend
32,Lammermarkt 32312CK,Kabels en Leidingen Nutsvervangen elektraleidingen Liander,162911,20-09-2016,28-10-2016,Verleend
33,Lange Mare 582312GS,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduregroot onderhoud en isolatieH 01109G0000,163370,02-11-2016,20-12-2016,Verleend
34,Langebrug 8B2311TL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen postkast,162220,12-07-2016,28-10-2016,Verleend
35,Levendaal 1572311JJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen geluidwerende voorzieningenD 00582G0000,163302,28-10-2016,07-12-2016,Verleend
36,Maarsmansteeg 82311EE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasG 01155G0000,163322,31-10-2016,14-12-2016,Verleend
37,Maarsmansteeg 82311EE,Aanvraag ontheffing nadere regels terrassenontheffing nadere regels terrassenG 01155G0000,163352,31-10-2016,13-04-2017,Weigering
38,Madoerastraat 232315BX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwN 01772G0000,162778,06-09-2016,28-10-2016,Verleend
39,Middelstegracht 1552312TV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terras,163346,31-10-2016,20-12-2016,Verleend
40,Morsstraat 542312BN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderen voorgevelB 00070G0000,162894,16-09-2016,28-10-2016,Verleend
41,Morsweg 1582332ES,Onttrekkingwijzigen gebruik naar kamerverhuur met 4 kamersP 03286A0001,161174,14-04-2016,27-10-2016,Verleend
42,Nieuwsteeg 112311RW,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningG 01043G0000,163309,31-10-2016,03-01-2017,Verleend
43,Nieuwstraat 322312KC,Omgevingsvergunning Omgevingsvergunning Meldingbrandveilig gebruikI 03126G0000,163361,01-11-2016,05-12-2016,Afgehandeld
44,Oppenheimstraat 992313JE,Onttrekkingwijzigen gebruik naar kamerverhuur met 3 kamersQ 01344A0065,163339,27-10-2016,24-11-2016,Verleend
45,Oude Singel 1282312RG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasB 03042G0000,163308,26-10-2016,13-12-2016,Verleend
46,Oude Singel 1282312RG,Aanvraag ontheffing nadere regels terrassenontheffing nadere regels terrassenB 03042G0000,163371,31-10-2016,09-01-2017,Afgehandeld
47,Pelikaanstraat 272312DW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen reclame voor- en zijgevelH 03896G0000,163316,31-10-2016,08-12-2016,Niet ontvankelijk
48,Pieter de la Courtstraat 252313BP,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken dakterras op uitbouwM 03350G0000,163298,28-10-2016,08-12-2016,Niet ontvankelijk
49,Prins Hendrikstraat 332316CM,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken uitbouwK 05706A0001,163305,30-10-2016,03-02-2017,Niet ontvankelijk
50,Raamsteeg 612311PL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinpandig plaatsen stalen bint in muurE 00251G0000,162993,28-09-2016,27-10-2016,Verleend
51,Rapenburg 62311EV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitvoeren onderhoud voorgevelG 02127G0000,161999,22-06-2016,28-10-2016,Verleend
52,Rapenburg 282311EW,Aanvraag ontheffing nadere regels terrassenontheffing nadere regels terrassen,163327,17-10-2016,08-12-2016,Verleend
53,Rijndijk ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurenieuwbouw 26 appartementen en 6 twee-onder-een-kap-woningenD 04470,162407,28-10-2016,15-11-2016,Vervallen
54,Rooseveltstraat 412321BL,Kabels en Leidingen Telecomaanleg telecommunicatiekabels Ziggo BVO 05357G0000,163044,04-10-2016,28-10-2016,Verleend
55,Schipholweg 1032316XC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen 2 puien en plaatsen pergola en plantenbakL 02223A0160,162199,11-07-2016,28-10-2016,Verleend
56,Standerdmolen 352317NZ,Kabels en Leidingen Telecomaanleggen telecommunicatiekabels Eurofiber,162934,21-09-2016,28-10-2016,Verleend
57,Sumatrastraat 1952315BD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen 11 bomenN 01381G0000,163003,29-09-2016,31-10-2016,Verleend
58,Sumatrastraat 1952315BD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen voorzieningen openbare verlichtingN 01381G0000,163289,27-10-2016,11-11-2016,Verleend
59,Vondellaan 552332AA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclame,162719,31-08-2016,01-11-2016,Verleend
60,Weddesteeg 42311VX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureherstellen historische kleurenF 01556G0000,163334,31-10-2016,01-03-2017,Verleend
61,Willem Barentszstraat 72315TZ,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebrandveilig gebruikN 02009G0000,163290,27-10-2016,20-03-2017,Niet ontvankelijk
62,Zilverkarper 112318NC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen garagedeur door kozijnS 02705G0000,163340,01-11-2016,17-11-2016,Vervallen
63,Zwenkgras 52318TH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel aan voorzijde woningS 04759G0000,163354,01-11-2016,09-11-2016,Verleend
0,Aalmarkt 112311EC,Aanvraag terrasvergunning of wijziging terrasvergunningterrasvergunningG 02424G0000,161246,18-04-2016,24-10-2016,Verleend
1,Aalmarkt 212311EC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen vaste voet voor parasolsG 01923G0000,163078,06-10-2016,12-01-2017,Weigering
2,Anna van Saksenstraat 32316PV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitvoeren funderingsherstelK 05676G0000,163249,21-10-2016,14-12-2016,Verleend
3,Beestenmarkt 102312CC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen vaste parasol op terrasB 03224A0001,163276,25-10-2016,09-01-2017,Verleend
4,Bevrijdingsplein 372321BW,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning (slijterij)O 02272A0001,163245,21-10-2016,07-11-2016,Verleend
5,Blauwpoortsbrug 12312GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen trappenH 02922G0000,162739,02-09-2016,21-12-2016,Verleend
6,Breestraat 502311CS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen banner LSV MinervaG 02003G0000,163266,24-10-2016,04-11-2016,Vervallen
7,Burgsteeg 132312JR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terrasI 03353G0000,162049,22-06-2016,20-10-2016,Verleend
8,De Savornin Lohmanplein 22314EV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeO 03836G0000,163270,25-10-2016,18-11-2016,Vervallen
9,Einsteinweg 552333CC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen 2 bomen tussen Ehrenfestweg en t.h.v. rotonde Max Planckweg,162307,20-07-2016,25-10-2016,Verleend
10,Garenmarkt 9A2311PG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuurA 02091,162058,29-06-2016,24-10-2016,Verleend
11,Gemeente Leiden ,Aanvraag collectevergunningcollectevergunning t.b.v. Stichting DEAL Foundation,163239,20-10-2016,24-10-2016,Verleend
12,Gerrit Doustraat 932311XN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden achteraanbouwM 00307G0000,163227,20-10-2016,26-01-2017,Weigering
13,Hoefstraat 56A2311PV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik bedrijfsruimte naar wonenE 01750,163232,20-10-2016,16-12-2016,Afgehandeld
14,Hooigracht 4A2312KR,Aanvraag Drank- en Horecaverlof regulierdrank- en horecaverlofI 02187G0000,162995,28-09-2016,24-10-2016,Verleend
15,Hooigracht 922312KX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik bedrijfsruimte naar wonenI 03255A0001,163177,13-10-2016,24-11-2016,Niet ontvankelijk
16,Huis aan huis gemeente Leiden ,Aanvraag collectevergunningWijzigen Openbare Ruimte,163240,20-10-2016,21-10-2016,Afgehandeld
17,Klimroos 102317GB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeS 02433G0000,163261,24-10-2016,25-10-2016,Verleend
18,Knotterpad ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen 3 populieren op dijk Cronesteijnpark IA 06923,163253,24-10-2016,17-01-2017,Weigering
19,LDN01T 06101 ,Monumentenvergunningaanleg evenementenaansluiting water en elektra  Park Matilo  archeologisch rijksmonument,162770,05-09-2016,,Verleend
20,Langegracht 722312NH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen tijdelijke stalling en hekwerk voor de duur van vijf jaarB 03233G0000,163242,21-10-2016,10-02-2017,Verleend
21,Leliestraat 116A2313BJ,Onttrekkingwijziging naar kamerverhuur met 4 kamersM 08772G0000,163255,20-10-2016,21-11-2016,Verleend
22,Maredijk 25B2316VR,Onttrekkingwijziging naar kamerverhuurL 01420G0000,163254,19-10-2016,,
23,Marienpoelstraat 2334CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen brug voor fietsers en voetgangers over de PoelweteringP 03560,163228,20-10-2016,15-12-2016,Niet ontvankelijk
24,Nieuwe Rijn 512312JH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw tot kamerverhuurpand en maken brandveilige toegangI 00284G0000,162098,04-07-2016,25-10-2016,Verleend
25,Nieuwsteeg 112311RW,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunningG 01043G0000,163260,24-10-2016,10-11-2016,Verleend
26,Pasteurstraat 1012316BS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw 50KV station naar 30 woningen  maken inrit en 9 parkeerplaatsenK 06988,163279,26-10-2016,14-06-2017,Verleend
27,Piet Heinstraat 102316VH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen aangetaste delen en plaatsen isolatieglas in gevelkozijnenL 02170G0000,163267,24-10-2016,17-01-2017,Verleend
28,Raamsteeg 532311PL,Onttrekkingwijziging naar kamerverhuur met 4 wooneenhedenE 00247G0000,162898,13-09-2016,24-10-2016,Verleend
29,Rapenburg 732311GJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van een boom,163257,24-10-2016,30-01-2017,Verleend
30,Rijksweg A4 ,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedureaanleggen wegverharding i.v.m. verschuiven ritspunt A4T 06929,163141,12-10-2016,08-02-2017,Verleend
31,Rijnsburgerweg 1522333AJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw woning en plaatsen dakkapelR 00810G0000,162493,03-08-2016,25-10-2016,Verleend
32,Sint Aagtenstraat 242312CB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik van opslag naar horecaB 00320G0000,163281,26-10-2016,02-01-2017,Niet ontvankelijk
33,Spiegelkarper 132318NH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeS 02755G0000,163275,26-10-2016,22-11-2016,Verleend
34,Storm Buysingstraat 18C2332VW,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk plaatsen portocabinsR 01468G0000,162252,14-07-2016,20-10-2016,Verleend
35,Sumatrastraat 1952315BD,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduredichtzetten doorgangen en plaatsen gevelkozijnenN 01381G0000,163074,05-10-2016,20-10-2016,Verleend
36,Uiterstegracht 62312TD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw pand perceel Uiterstegracht 6 tot één zelfstandige wooneenheid op de begane grond en twee onzelfstandige wooneenheden op verdieping en nieuwbouw woning perceel Uiterstegracht 8I 03096G0000,161578,15-07-2016,21-10-2016,Verleend
37,Ververstraat 222312LV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen van een scheidingswand en het maken van een klepraam in het kozijnC 01645G0000,162841,12-09-2016,02-12-2016,Verleend
38,Vijf Meilaan 10F2321RL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen reclame en aanzuigrooster op de gevel en plaatsen afvoerkanaal op het dak plaatsen reclame,162352,25-07-2016,24-10-2016,Verleend
39,Zeemanlaan 22B2313SZ,Aanvraag Drank- en Horecavergunning commercieeldrank- en horecavergunning (slijterij),162944,23-09-2016,24-10-2016,Verleend
40,Zonnedauwtuin 102317MR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeS 04608G0000,162750,02-09-2016,26-10-2016,Verleend
0,Aalmarkt 222311ED,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruikG 01928G0000,162638,22-08-2016,13-10-2016,Verleend
1,Andries Schotkade 42313XV,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresnoeien van een boomM 07615G0000,163213,18-10-2016,13-12-2016,Verleend
2,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken aanbouw tuinhuis  tuin G 24T 06228G0000,163172,13-10-2016,28-11-2016,Verleend
3,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen luifel aan tuinhuis  Edelweispad 4T 06228G0000,163173,13-10-2016,08-12-2016,Verleend
4,Boerenpad 12322LA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuur en kweekkas  tuin K4T 06228G0000,163178,13-10-2016,08-12-2016,Verleend
5,Boerhaavelaan 112334EB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik van kantoor naar wonenP 02623G0000,162534,09-08-2016,14-10-2016,Verleend
6,Boerhaavelaan 2982334EZ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk plaatsen 4 noodlokalenP 02753G0000,162274,15-07-2016,18-10-2016,Verleend
7,Daendelsstraat 382316DW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen serre op dakterrasN 02097G0000,160868,20-08-2016,14-10-2016,Verleend
8,Fuchsiadal 182317HR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapellen voor- en achterzijdeS 01323G0000,163182,13-10-2016,06-12-2016,Verleend
9,Gemeente Leiden ,Aanvraag collectevergunningcollectevergunning t.b.v. ADRA Nederland,163146,11-10-2016,18-10-2016,Verleend
10,Gortestraat 502311NM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van zonnepanelen  een zonneboiler en een schoorsteenD 01966G0000,162660,23-08-2016,18-10-2016,Verleend
11,Griegstraat 162324BA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel voorzijdeO 03409G0000,162628,19-08-2016,18-10-2016,Verleend
12,Haarlemmerstraat 12312DJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen van het gebruik naar horeca/detailhandel en wijzigen van de gevel en binnenwerk en het plaatsen van reclameH 02813G0000,163190,14-10-2016,07-02-2017,Verleend
13,Haarlemmerstraat 1312312DN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen pui en gevelreclameH 00520G0000,163191,14-10-2016,01-12-2016,Verleend
14,Haarlemmerweg 162316AB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen berging in achtertuinK 04465G0000,162644,22-08-2016,14-10-2016,Verleend
15,Herengracht 402312LD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar woning en naar kamergewijze verhuur,163209,17-10-2016,23-02-2017,Verleend
16,Herengracht 40A2312LD,Onttrekkingwijziging naar kamerverhuur,163221,19-10-2016,21-12-2018 Van rechtswege,Verleend
17,Hooglandse Kerkgracht 382312HV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderen hofjeswoningenI 02889G0000,162665,24-08-2016,18-10-2016,Verleend
18,Hooigracht 922312KX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik bedrijfsruimte naar wonenI 03255A0001,163177,13-10-2016,24-11-2016,Niet ontvankelijk
19,Joop Vervoornpad 162316EP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuur  tuinnr 445,163167,13-10-2016,17-11-2016,Niet ontvankelijk
20,Joop Vervoornpad 162316EP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen luifel  tuinnr 193,163168,13-10-2016,28-11-2016,Verleend
21,Joop Vervoornpad 162316EP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen luifel en kas  tuinnr 82,163174,13-10-2016,22-11-2016,Niet ontvankelijk
22,Joop Vervoornpad 162316EP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen kas  tuinnr 286,163179,13-10-2016,08-12-2016,Verleend
23,Kikkerpolder ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen pompput en leggen persleidingP 03541,163210,17-10-2016,02-12-2016,Afgehandeld
24,Korevaarstraat 552311JT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen bank en parasolvoet,163202,11-10-2016,02-02-2017,Weigering
25,Korevaarstraat 552311JT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen gebruik naar terras,163203,11-10-2016,13-01-2017,Verleend
26,Korevaarstraat 55A2311JT,Aanvraag ontheffing nadere regels terrassenontheffing nadere regels terrassenE 01686G0000,163199,11-10-2016,12-12-2016,Weigering
27,Kortenaerstraat 502315TN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakopbouwK 04640G0000,162421,28-07-2016,18-10-2016,Verleend
28,Kruisstraat 122312BH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet verbouwen van de werkplaats tot woningB 00042G0000,163171,13-10-2016,09-12-2016,Verleend
29,Nieuwe Rijn 542312JH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw winkelpand tot woonruimteI 02481G0000,162497,04-08-2016,17-10-2016,Verleend
30,Nieuwstraat 42312KB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanbrengen zonwering,162157,08-07-2016,06-06-2017,Vervallen
